1000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
2000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
3000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
4000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
5000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
6000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
7000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
8000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
9000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
10000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
11000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
12000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
13000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
14000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
15000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
16000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
17000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
18000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
19000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
20000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
21000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
22000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
23000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
24000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
25000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
26000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
27000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
28000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
29000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
30000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;MoveToUnit;Enemy;Closest
