3600,S;S_S;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Left;5;S;For_S;S;C;Idle
7200,S;S_S;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Left;5;S;For_S;S;C;Idle
10800,S;S_S;S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Idle;S;S_S;S;C;Harvest;4;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;S_S;S;C;Train;Worker;Left;15;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;If_B_then_S;B;HaveQtdUnitsAttacking;8;S;C;MoveToUnit;Ally;LessHealthy
14400,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;3;S;C;Attack;Farthest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;S_S;S;C;Train;Worker;Left;15;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;If_B_then_S;B;HaveQtdUnitsAttacking;1;S;C;MoveToUnit;Ally;LessHealthy
18000,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
21600,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
25200,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
28800,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
32400,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
36000,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
39600,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
43200,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
46800,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
50400,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
54000,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
57600,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
61200,S;S_S;S;S_S;S;For_S;S;C;Idle;S;For_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Barracks;4;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Worker;Right;50
