3600,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
7200,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
10800,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
14400,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
18000,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
21600,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
25200,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
28800,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
32400,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
36000,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
39600,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
43200,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
46800,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
50400,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
54000,S;S_S;S;For_S;S;C;Harvest;7;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;9;S;S_S;S;C;Train;Worker;Up;25;S;C;MoveAway;S;C;Idle;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;100;S;C;MoveToUnit;Ally;Farthest;S;C;Attack;MostHealthy
