3600,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;5;S;C;Attack;Farthest;S;C;Train;Worker;Up;9
7200,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;5;S;C;Attack;Farthest;S;C;Train;Worker;Up;9
10800,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
14400,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
18000,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
21600,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
25200,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
28800,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
32400,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
36000,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
39600,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
43200,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
46800,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
50400,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
54000,S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;C;Train;Worker;Up;25
