1000,S;For_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;7;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;7;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;8;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;9;S;C;MoveToUnit;Ally;Base;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;C;MoveToUnit;Ally;Base;S;C;Train;Worker;EnemyDir;100;S;For_S;S;S_S;S;C;Harvest;4;S;C;Attack;Strongest
2000,S;For_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;7;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;7;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;8;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;9;S;C;MoveToUnit;Ally;Base;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;C;MoveToUnit;Ally;Base;S;C;Train;Worker;EnemyDir;100;S;For_S;S;S_S;S;C;Harvest;4;S;C;Attack;Strongest
3000,S;For_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;7;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;7;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;8;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;9;S;C;MoveToUnit;Ally;Base;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;C;MoveToUnit;Ally;Base;S;C;Train;Worker;EnemyDir;100;S;For_S;S;S_S;S;C;Harvest;4;S;C;Attack;Strongest
4000,S;For_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;7;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;7;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;8;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;9;S;C;MoveToUnit;Ally;Base;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;C;MoveToUnit;Ally;Base;S;C;Train;Worker;EnemyDir;100;S;For_S;S;S_S;S;C;Harvest;4;S;C;Attack;Strongest
5000,S;For_S;S;S_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Closest;S;S_S;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;7;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;7;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;8;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;9;S;C;MoveToUnit;Ally;Base;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;5;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;C;MoveToUnit;Ally;Base;S;C;Train;Worker;EnemyDir;100;S;For_S;S;S_S;S;C;Harvest;4;S;C;Attack;Strongest
6000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;50;S;C;Attack;MostHealthy;S;For_S;S;S_S;S;C;Harvest;2;S;C;Attack;LessHealthy
7000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
8000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
9000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
10000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
11000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
12000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
13000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
14000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
15000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
16000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
17000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
18000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
19000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
20000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
21000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
22000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Harvest;4;S;Empty;S;S_S;S;C;Train;Worker;Left;25;S;C;Harvest;2;S;C;Attack;Strongest
