1000,S;For_S;S;S_S;S;For_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;C;Harvest;5;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;100
2000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;50;S;C;Attack;Closest;S;For_S;S;S_S;S;C;Harvest;2;S;C;Harvest;3
3000,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;C;Train;Worker;Left;25;S;C;Attack;Strongest
4000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
5000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
6000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
7000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
8000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
9000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
10000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
11000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
12000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
13000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
14000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
15000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
16000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
17000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
18000,S;For_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;10;S;C;Attack;Weakest;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;Right;1;S;C;Train;Light;Right;10;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;3;S;For_S;S;C;Idle;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Train;Worker;Up;15
