1000,S;For_S;S;S_S;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;Empty;S;For_S;S;C;Train;Worker;Right;25;S;For_S;S;C;Attack;LessHealthy
2000,S;For_S;S;S_S;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;Empty;S;For_S;S;C;Train;Worker;Right;25;S;For_S;S;C;Attack;LessHealthy
3000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Train;Worker;Up;15
4000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Train;Worker;Up;15
5000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Train;Worker;Up;15
6000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
7000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
8000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
9000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
10000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
11000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
12000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
13000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
14000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
15000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
16000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
17000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;4;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;Empty;S;C;Attack;LessHealthy;S;C;Build;Barracks;Up;25;S;C;Attack;Strongest;S;C;Train;Light;Down;10;S;S_S;S;C;Train;Worker;Down;10;S;C;Train;Worker;Down;100
