1000,S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;6;S;C;Attack;Weakest
2000,S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;6;S;C;Attack;Weakest
3000,S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;6;S;C;Attack;Weakest
4000,S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;6;S;C;Attack;Weakest
5000,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;2;S;S_S;S;C;Train;Worker;Down;50;S;C;MoveToUnit;Enemy;Weakest;S;C;Idle;S;C;MoveToUnit;Enemy;Closest
6000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;25;S;C;MoveToUnit;Enemy;Closest
7000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
8000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
9000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
10000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
11000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
12000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
13000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
14000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
15000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
16000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
17000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
19000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
20000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
21000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
22000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
23000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
24000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
25000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
26000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
27000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
28000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
29000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
30000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
31000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Train;Worker;EnemyDir;25;S;S_S;S;C;Train;Ranged;EnemyDir;5;S;C;Harvest;4;S;C;Attack;LessHealthy
