1000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Closest;S;C;Harvest;2;S;C;Train;Worker;Right;50;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;C;Idle;S;C;Attack;LessHealthy
2000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;8;S;C;Idle;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Down;10;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;3;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;6;S;C;Attack;Strongest
3000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;8;S;C;Idle;S;S_S;S;S_S;S;C;MoveAway;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Down;10;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;3;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;6;S;C;Attack;Strongest
4000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
5000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
6000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
7000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
8000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
9000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
10000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
11000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
12000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
13000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest;S;C;Train;Worker;Left;25
