1000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Base;1;S;C;Attack;Strongest;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;1;S;C;Attack;Weakest;S;S_S;S;C;Train;Worker;Up;8;S;C;MoveToUnit;Ally;Strongest
2000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Base;1;S;C;Attack;Strongest;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;1;S;C;Attack;Weakest;S;S_S;S;C;Train;Worker;Up;8;S;C;MoveToUnit;Ally;Strongest
3000,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasNumberOfUnits;Base;1;S;C;Attack;Strongest;S;If_B_then_S;B;OpponentHasNumberOfUnits;Worker;1;S;C;Attack;Weakest;S;S_S;S;C;Train;Worker;Up;8;S;C;MoveToUnit;Ally;Strongest
4000,S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Train;Worker;Left;7;S;For_S;S;S_S;S;C;Harvest;1;S;C;Attack;LessHealthy
5000,S;For_S;S;S_S;S;S_S;S;C;Harvest;2;S;C;Train;Worker;Left;7;S;For_S;S;S_S;S;C;Harvest;1;S;C;Attack;LessHealthy
6000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
7000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
8000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
9000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
10000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
11000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
12000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
13000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
14000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
15000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
