1000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
2000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
3000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
4000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
5000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
6000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
7000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
8000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
9000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
10000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
11000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
12000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
13000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
14000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
15000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
16000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
17000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
18000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
19000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
20000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
21000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
22000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
23000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
24000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
25000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
26000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
27000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
28000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
29000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
30000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
31000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
32000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
33000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
34000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
35000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
36000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
37000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
38000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
39000,S;For_S;S;S_S;S;For_S;S;C;Harvest;4;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Right;50
