1000,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Idle;S;S_S;S;C;Train;Worker;Right;10;S;For_S;S;C;Harvest;4
2000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
3000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
4000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
5000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
6000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
7000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
8000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
9000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
10000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
11000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
12000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
13000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
14000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
15000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
16000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
17000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
18000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
19000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
20000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
21000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
22000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
23000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
24000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
25000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
26000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
27000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
28000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
29000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
30000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
31000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
32000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
33000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
34000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
35000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
36000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
37000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
38000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
39000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
40000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
41000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
42000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
43000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
44000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
45000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
46000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
47000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
48000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
49000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
50000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;Attack;Strongest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;20
