1000,S;For_S;S;S_S;S;C;Attack;Closest;S;S_S;S;C;Train;Worker;Left;8;S;For_S;S;C;Harvest;2
2000,S;For_S;S;S_S;S;C;Attack;Closest;S;S_S;S;C;Train;Worker;Left;8;S;For_S;S;C;Harvest;2
3000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
4000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
5000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
6000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
7000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
8000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
9000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
10000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
11000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
12000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
13000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
14000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
15000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
16000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
17000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
18000,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Up;25;S;C;Attack;Closest
