1000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;EnemyDir;6;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Attack;LessHealthy
2000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
3000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
4000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
5000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
6000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
7000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
8000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
9000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
10000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
11000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
12000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
13000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
14000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
15000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
16000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
17000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
19000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
20000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
21000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
22000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Farthest;S;C;Idle;S;C;Harvest;5;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Build;Barracks;EnemyDir;3;S;C;Train;Worker;EnemyDir;10;S;C;Train;Ranged;EnemyDir;10;S;C;Train;Light;EnemyDir;10;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest
