3600,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Worker;EnemyDir;8;S;C;MoveToUnit;Enemy;MostHealthy;S;S_S;S;C;Train;Worker;Left;9;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;LessHealthy
7200,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;S_S;S;S_S;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;For_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;C;Harvest;3;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Worker;EnemyDir;50;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Ally;Closest;S;For_S;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Harvest;1;S;For_S;S;For_S;S;C;Attack;Weakest
10800,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;S_S;S;S_S;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;For_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;C;Harvest;3;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Worker;EnemyDir;50;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Ally;Closest;S;For_S;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Weakest
14400,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;S_S;S;S_S;S;C;Attack;Farthest;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;For_S;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;C;Harvest;3;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Worker;EnemyDir;50;S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Ally;Closest;S;For_S;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Weakest
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Light;Up;20
21600,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
25200,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
28800,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
32400,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
36000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
39600,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
43200,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
46800,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
50400,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;25;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Farthest;S;S_S;S;S_S;S;For_S;S;C;Idle;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;For_S;S;S_S;S;If_B_then_S;B;CanHarvest;S;C;Build;Barracks;Right;9;S;C;Harvest;3;S;C;Train;Worker;EnemyDir;8;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Train;Heavy;Up;20
