3600,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Build;Barracks;Up;1;S;If_B_then_S;B;is_Type;Base;S;C;Train;Worker;Right;9;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;3;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;C;MoveToUnit;Enemy;Closest
7200,S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Build;Barracks;Up;1;S;If_B_then_S;B;is_Type;Base;S;C;Train;Worker;Right;9;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;3;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;C;MoveToUnit;Ally;Farthest;S;For_S;S;C;Idle;S;C;MoveToUnit;Enemy;Closest
10800,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
14400,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
18000,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
21600,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
25200,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
28800,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
32400,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
36000,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
39600,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
43200,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
46800,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
50400,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
54000,S;For_S;S;S_S;S;S_S;S;C;Harvest;4;S;C;Idle;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;C;Attack;LessHealthy;S;C;Train;Worker;Up;50
