1000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HasNumberOfUnits;Base;5;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Base;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Base;S;C;MoveToUnit;Ally;Base
2000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HasNumberOfUnits;Base;5;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Base;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Base;S;C;MoveToUnit;Ally;Base
3000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HasNumberOfUnits;Base;5;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Base;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Base;S;C;MoveToUnit;Ally;Base
4000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HasNumberOfUnits;Base;5;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Base;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Base;S;C;MoveToUnit;Ally;Base
5000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HasNumberOfUnits;Base;5;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Base;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Base;S;C;MoveToUnit;Ally;Base
6000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Closest;S;If_B_then_S_else_S;B;HasNumberOfUnits;Base;5;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Ally;Base;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Base;S;C;MoveToUnit;Ally;Base
7000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
8000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
9000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
10000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
11000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
12000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
13000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
14000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
15000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
16000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
17000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
19000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
20000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
21000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
22000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
23000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;100;S;C;Attack;Weakest;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Down;5
