1000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;5;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest
2000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;5;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest
3000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
4000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
5000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
6000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
7000,S;S_S;S;For_S;S;C;Train;Worker;Up;3;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
8000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;3;S;C;Idle;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
9000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;3;S;C;Idle;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
10000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;3;S;C;Idle;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
11000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;3;S;C;Idle;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;C;Harvest;1;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Farthest
12000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
13000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
14000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
15000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
16000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
17000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
18000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
19000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
20000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
21000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
22000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
23000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
24000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
25000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;C;Harvest;15;S;C;MoveToUnit;Enemy;Farthest
26000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
27000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
28000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
29000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
30000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
31000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
32000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
33000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
34000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;6;S;C;Idle;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;S_S;S;For_S;S;C;Harvest;3;S;C;MoveToUnit;Ally;Weakest;S;C;Harvest;100;S;C;MoveToUnit;Enemy;Farthest
