1000,S;For_S;S;S_S;S;C;Attack;Strongest;S;C;Train;Worker;Up;10
2000,S;For_S;S;S_S;S;C;Attack;Closest;S;S_S;S;C;Train;Worker;Left;100;S;For_S;S;C;Harvest;4
3000,S;For_S;S;S_S;S;C;Attack;Closest;S;S_S;S;C;Train;Worker;Left;100;S;For_S;S;C;Harvest;4
4000,S;For_S;S;S_S;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Right;20
5000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Right;20
6000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Right;20
7000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
8000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
9000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
10000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
11000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
12000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
13000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
14000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
15000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;3;S;C;Train;Worker;Up;20
16000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;Harvest;6;S;S_S;S;C;Attack;Closest;S;For_S;S;C;Harvest;6;S;C;Train;Worker;Left;20
