3600,S;For_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;C;Train;Ranged;Left;100;S;S_S;S;S_S;S;S_S;S;C;Train;Worker;Down;25;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Harvest;3;S;S_S;S;C;MoveAway;S;For_S;S;C;Build;Barracks;EnemyDir;10;S;C;Attack;Weakest
7200,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;Attack;LessHealthy;S;For_S;S;C;MoveToUnit;Enemy;Strongest
10800,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;Attack;LessHealthy;S;For_S;S;C;MoveToUnit;Enemy;Strongest
14400,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;Attack;LessHealthy;S;For_S;S;C;MoveToUnit;Enemy;Strongest
18000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;Attack;LessHealthy;S;For_S;S;C;MoveToUnit;Enemy;Strongest
21600,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveToUnit;Enemy;Strongest
25200,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveToUnit;Enemy;Strongest
28800,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveToUnit;Enemy;Strongest
32400,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;8;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveToUnit;Enemy;Strongest
36000,S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;4;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;7;S;For_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;Build;Barracks;EnemyDir;6;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;MoveToUnit;Ally;Farthest
