3600,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;C;Train;Worker;Up;15;S;For_S;S;C;Idle
7200,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;C;Train;Worker;Right;2;S;For_S;S;C;Attack;MostHealthy
10800,S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;Weakest;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Train;Worker;Down;100
14400,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
18000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
21600,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
25200,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
28800,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
32400,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
36000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
39600,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
43200,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
46800,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
50400,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
54000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;C;Train;Worker;EnemyDir;100;S;S_S;S;C;Harvest;10;S;C;Attack;LessHealthy
