3600,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;IsBuilder;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Base;0;S;C;Build;Base;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Barracks;0;S;C;Build;Barracks;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Ranged;0;S;C;Build;Ranged;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Heavy;0;S;C;Build;Heavy;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Light;0;S;C;Build;Light;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Worker;0;S;C;Build;Worker;Up;1;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;1;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;is_Type;Base;S;If_B_then_S;B;HasNumberOfUnits;Worker;0;S;C;Train;Worker;Up;1;S;If_B_then_S;B;is_Type;Barracks;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Ranged;0;S;C;Train;Ranged;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Heavy;0;S;C;Train;Heavy;Up;1;S;If_B_then_S;B;HasNumberOfUnits;Light;0;S;C;Train;Light;Up;1;S;If_B_then_S_else_S;B;is_Type;Ranged;S;S_S;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;0;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;0;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;If_B_then_S_else_S;B;is_Type;Light;S;S_S;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Heavy;0;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Closest;S;Empty;S;C;MoveToUnit;Enemy;Closest
7200,S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;LessHealthy
10800,S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;LessHealthy
14400,S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;LessHealthy
18000,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
21600,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
21600,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
28800,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
28800,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
36000,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
36000,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
43200,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
43200,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
50400,S;For_S;S;S_S;S;S_S;S;C;Harvest;3;S;S_S;S;C;Harvest;15;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;7;S;C;Idle;S;C;Train;Worker;EnemyDir;25
