3600,S;For_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;100;S;S_S;S;C;Build;Barracks;EnemyDir;15;S;C;Harvest;100;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;0;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;Empty;S;C;Attack;Weakest;S;C;Train;Worker;Right;2;S;C;MoveToUnit;Enemy;Closest
7200,S;For_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;100;S;S_S;S;C;Build;Barracks;EnemyDir;15;S;C;Harvest;100;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;0;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;Empty;S;C;Attack;Weakest;S;C;Train;Worker;Right;2;S;C;MoveToUnit;Enemy;Closest
10800,S;For_S;S;S_S;S;S_S;S;C;Train;Light;EnemyDir;100;S;S_S;S;C;Build;Barracks;EnemyDir;15;S;C;Harvest;100;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;0;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;Empty;S;C;Attack;Weakest;S;C;Train;Worker;Right;2;S;C;MoveToUnit;Enemy;Closest
14400,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Train;Light;EnemyDir;20;S;C;Build;Barracks;EnemyDir;10;S;S_S;S;S_S;S;C;Harvest;15;S;C;MoveAway;S;C;Idle;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Worker;0;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;C;Attack;Strongest
18000,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
21600,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
25200,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
28800,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
32400,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
36000,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
39600,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
43200,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
46800,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
50400,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Train;Light;Left;8;S;S_S;S;C;Idle;S;C;Build;Barracks;Left;25;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;For_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;For_S;S;C;Attack;LessHealthy;S;For_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Ally;MostHealthy
