3600,S;S_S;S;S_S;S;For_S;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;C;Idle;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;C;Harvest;9;S;S_S;S;For_S;S;S_S;S;If_B_then_S;B;CanAttack;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Train;Worker;Down;2;S;For_S;S;If_B_then_S;B;HasUnitInOpponentRange;S;For_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;S_S;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;For_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Ally;Farthest
7200,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
10800,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
14400,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
14400,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
21600,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
25200,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
28800,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
32400,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
36000,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
39600,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
43200,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
46800,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
50400,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
54000,S;For_S;S;S_S;S;C;Harvest;15;S;S_S;S;C;Attack;Farthest;S;S_S;S;C;Train;Worker;Left;6;S;S_S;S;C;Train;Worker;Left;20;S;For_S;S;C;Idle
