3600,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;For_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;C;Harvest;100;S;For_S;S;C;Attack;Weakest;S;S_S;S;C;Train;Worker;Up;5;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;MoveToUnit;Ally;Weakest
7200,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
10800,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
14400,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
18000,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
21600,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
25200,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
28800,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
32400,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
36000,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
39600,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
43200,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
46800,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
50400,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
50400,S;For_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Strongest;S;For_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;1;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Train;Worker;Right;50;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Ally;Closest
