3600,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
7200,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
10800,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
14400,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
21600,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
25200,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
28800,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
32400,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
36000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;Harvest;1;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;If_B_then_S_else_S;B;HasLessNumberOfUnits;Heavy;2;S;Empty;S;For_S;S;C;MoveToUnit;Ally;MostHealthy;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Ally;MostHealthy;S;C;Train;Worker;EnemyDir;10
