3600,S;For_S;S;S_S;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Up;4;S;For_S;S;S_S;S;For_S;S;C;Harvest;50;S;C;Attack;Closest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;LessHealthy
7200,S;For_S;S;For_S;S;S_S;S;C;Attack;Farthest;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;4;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;Empty;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Idle;S;C;MoveToUnit;Ally;Farthest;S;C;MoveToUnit;Enemy;LessHealthy
10800,S;For_S;S;For_S;S;S_S;S;C;Attack;Farthest;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;4;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;Empty;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Idle;S;C;MoveToUnit;Ally;Farthest;S;C;MoveToUnit;Enemy;LessHealthy
14400,S;For_S;S;For_S;S;S_S;S;C;Attack;Farthest;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;4;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;Empty;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Idle;S;C;MoveToUnit;Ally;Farthest;S;C;MoveToUnit;Enemy;LessHealthy
18000,S;For_S;S;For_S;S;S_S;S;C;Attack;Farthest;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;4;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;Empty;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;S_S;S;C;Idle;S;C;MoveToUnit;Ally;Farthest;S;C;MoveToUnit;Enemy;LessHealthy
21600,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
25200,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
25200,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
32400,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
32400,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
36000,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
43200,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
43200,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
50400,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
50400,S;For_S;S;For_S;S;S_S;S;C;MoveAway;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;2;S;Empty;S;S_S;S;C;Attack;MostHealthy;S;C;Train;Worker;Down;50;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;For_S;S;C;Harvest;7;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;C;MoveToUnit;Ally;Strongest;S;Empty;S;For_S;S;C;MoveToUnit;Enemy;Strongest
