1000,S;Empty
2000,S;For_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;25;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;4
3000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
4000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
5000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
6000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
7000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
8000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
9000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
10000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
11000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
12000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
13000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
14000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
15000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
16000,S;For_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;If_B_then_S;B;IsBuilder;S;C;Idle;S;S_S;S;S_S;S;C;Harvest;6;S;C;MoveToUnit;Enemy;Farthest;S;C;Train;Worker;Down;100
