3600,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;IsBuilder;S;S_S;S;S_S;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;HasLessNumberOfUnits;Worker;5;S;C;Train;Worker;Random;1;S;C;Build;Base;Random;1;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;MoveAway;S;S_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;5;S;C;MoveToUnit;Ally;Base;S;C;Harvest;1;S;If_B_then_S;B;is_Type;Barracks;S;S_S;S;If_B_then_S;B;HasLessNumberOfUnits;Ranged;5;S;S_S;S;If_B_then_S;B;CanAttack;S;C;Train;Ranged;Random;1;S;C;MoveToUnit;Ally;Base;S;S_S;S;If_B_then_S;B;OpponentHasUnitInPlayerRange;S;C;Attack;Closest;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;is_Type;Ranged;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Attack;Closest;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;is_Type;Heavy;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Attack;Closest;S;C;MoveToUnit;Ally;Base;S;If_B_then_S;B;is_Type;Light;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;C;Attack;Closest;S;C;MoveToUnit;Ally;Base
7200,S;For_S;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;C;Train;Worker;Right;5;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;3;S;C;Attack;Weakest;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;If_B_then_S_else_S;B;CanAttack;S;For_S;S;C;MoveToUnit;Ally;Farthest;S;Empty;S;C;MoveToUnit;Enemy;Farthest
7200,S;For_S;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;C;MoveToUnit;Enemy;Strongest;S;Empty;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;C;Train;Worker;Right;5;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;3;S;C;Attack;Weakest;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;For_S;S;C;MoveToUnit;Enemy;Strongest;S;If_B_then_S_else_S;B;CanAttack;S;For_S;S;C;MoveToUnit;Ally;Farthest;S;Empty;S;C;MoveToUnit;Enemy;Farthest
14400,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;S_S;S;C;Harvest;6;S;C;Idle;S;C;Train;Worker;Up;7;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;Empty;S;For_S;S;S_S;S;C;Train;Worker;Down;25;S;C;Attack;MostHealthy
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;MostHealthy;S;For_S;S;S_S;S;C;Harvest;6;S;C;Idle;S;C;Train;Worker;Up;7;S;If_B_then_S_else_S;B;OpponentHasUnitInPlayerRange;S;Empty;S;For_S;S;S_S;S;C;Train;Worker;Down;25;S;C;Attack;MostHealthy
21600,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
21600,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
25200,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
32400,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
32400,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
39600,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
43200,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
46800,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
50400,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
54000,S;For_S;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;C;Train;Worker;Up;50;S;For_S;S;C;Attack;Weakest;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;MoveToUnit;Ally;Weakest
