3600,S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Weakest;S;S_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Ally;Farthest;S;C;Train;Worker;Down;50;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;MoveToUnit;Ally;LessHealthy
7200,S;S_S;S;For_S;S;C;Harvest;3;S;For_S;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Attack;Weakest;S;S_S;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;MoveToUnit;Ally;LessHealthy;S;C;MoveToUnit;Enemy;LessHealthy;S;C;MoveToUnit;Ally;Farthest;S;C;Train;Worker;Down;50;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;C;MoveToUnit;Ally;LessHealthy
10800,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;15;S;C;MoveToUnit;Ally;Closest
14400,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;15;S;C;MoveToUnit;Ally;Closest
18000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;15;S;C;MoveToUnit;Ally;Closest
21600,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
25200,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
25200,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
32400,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
36000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
39600,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
43200,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
46800,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
50400,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
54000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitInOpponentRange;S;If_B_then_S_else_S;B;OpponentHasNumberOfUnits;Ranged;8;S;C;MoveToUnit;Enemy;Weakest;S;Empty;S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;5;S;C;Attack;Closest;S;For_S;S;C;Train;Worker;Up;20;S;C;MoveToUnit;Ally;Closest
