3600,S;S_S;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;For_S;S;C;Attack;LessHealthy;S;Empty;S;S_S;S;For_S;S;C;Train;Worker;Up;8;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy
7200,S;For_S;S;S_S;S;For_S;S;C;Harvest;3;S;S_S;S;C;Attack;Strongest;S;C;Train;Worker;Down;100
10800,S;For_S;S;S_S;S;S_S;S;For_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;C;Harvest;5;S;C;MoveToUnit;Enemy;Closest;S;C;Train;Worker;Up;25;S;S_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;MostHealthy;S;For_S;S;C;Attack;Strongest
10800,S;For_S;S;S_S;S;S_S;S;For_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;C;Harvest;5;S;C;MoveToUnit;Enemy;Closest;S;C;Train;Worker;Up;25;S;S_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;MostHealthy;S;For_S;S;C;Attack;Strongest
18000,S;For_S;S;S_S;S;S_S;S;For_S;S;For_S;S;C;Idle;S;S_S;S;S_S;S;For_S;S;If_B_then_S;B;CanHarvest;S;C;Harvest;5;S;C;MoveToUnit;Enemy;Closest;S;C;Train;Worker;Up;25;S;S_S;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;C;MoveToUnit;Ally;MostHealthy;S;For_S;S;C;Attack;Strongest
21600,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
25200,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
28800,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
32400,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
36000,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
39600,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
43200,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
43200,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
50400,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
54000,S;For_S;S;S_S;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;S_S;S;For_S;S;C;Build;Barracks;Up;2;S;For_S;S;S_S;S;For_S;S;C;Harvest;8;S;If_B_then_S_else_S;B;CanHarvest;S;Empty;S;For_S;S;C;Idle;S;C;Train;Worker;Down;50;S;If_B_then_S_else_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;For_S;S;S_S;S;If_B_then_S_else_S;B;HasUnitThatKillsInOneAttack;S;C;Attack;Closest;S;Empty;S;C;Attack;MostHealthy;S;For_S;S;C;Train;Ranged;Left;6
