3600,S;S_S;S;If_B_then_S;B;HaveQtdUnitsAttacking;1;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;9;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Idle;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;If_B_then_S;B;HasNumberOfUnits;Light;7;S;C;MoveToUnit;Ally;Farthest
7200,S;S_S;S;If_B_then_S;B;HaveQtdUnitsAttacking;1;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitInPlayerRange;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Enemy;Weakest;S;C;Harvest;9;S;S_S;S;C;Train;Worker;Up;9;S;For_S;S;S_S;S;C;Idle;S;C;MoveToUnit;Enemy;Strongest;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;C;MoveToUnit;Ally;Farthest
7200,S;S_S;S;If_B_then_S;B;HaveQtdUnitsAttacking;1;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;For_S;S;S_S;S;S_S;S;If_B_then_S;B;OpponentHasUnitInPlayerRange;S;If_B_then_S;B;HasUnitThatKillsInOneAttack;S;C;MoveToUnit;Enemy;Weakest;S;C;Harvest;9;S;S_S;S;C;Train;Worker;Up;9;S;For_S;S;S_S;S;C;Idle;S;C;MoveToUnit;Enemy;Strongest;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;C;MoveToUnit;Ally;Farthest
14400,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
18000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
21600,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
25200,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
28800,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
28800,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
36000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
39600,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
39600,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
46800,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
50400,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
54000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;15;S;S_S;S;For_S;S;S_S;S;C;Harvest;8;S;C;Attack;LessHealthy;S;For_S;S;If_B_then_S_else_S;B;HaveQtdUnitsAttacking;3;S;C;MoveToUnit;Enemy;Strongest;S;C;MoveToUnit;Enemy;Weakest;S;For_S;S;C;MoveToUnit;Ally;Weakest
