3600,S;S_S;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;25;S;Empty;S;For_S;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Down;6
3600,S;S_S;S;For_S;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;25;S;Empty;S;For_S;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Down;6
10800,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;C;Harvest;3;S;C;Attack;MostHealthy
14400,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;C;Attack;MostHealthy
14400,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;C;Attack;MostHealthy
18000,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;C;Attack;MostHealthy
25200,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
25200,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
28800,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
36000,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
36000,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
39600,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
43200,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
50400,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
50400,S;S_S;S;For_S;S;C;Train;Worker;Left;100;S;For_S;S;If_B_then_S;B;is_Type;Worker;S;S_S;S;S_S;S;C;Idle;S;C;Harvest;8;S;C;Attack;MostHealthy
