3600,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Down;20;S;C;Harvest;3;S;S_S;S;C;Idle;S;S_S;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy
7200,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Down;20;S;C;Harvest;3;S;S_S;S;C;Idle;S;S_S;S;C;Attack;MostHealthy;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy
10800,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;Down;20;S;C;Harvest;3;S;S_S;S;C;Idle;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy
14400,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
18000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
21600,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
25200,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
28800,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
32400,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
36000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
36000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
43200,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
43200,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
50400,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
54000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Harvest;7;S;S_S;S;For_S;S;C;Idle;S;For_S;S;C;Train;Worker;Down;20;S;If_B_then_S_else_S;B;HasUnitWithinDistanceFromOpponent;2;S;Empty;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;MoveToUnit;Ally;Closest
