3600,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
7200,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
10800,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
14400,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
18000,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
21600,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
25200,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
28800,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
32400,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
36000,S;S_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;9;S;For_S;S;C;Attack;Closest;S;For_S;S;If_B_then_S_else_S;B;CanAttack;S;Empty;S;S_S;S;C;Train;Worker;Up;25;S;For_S;S;C;MoveToUnit;Ally;Weakest
