1000,S;For_S;S;S_S;S;C;Harvest;6;S;S_S;S;C;MoveToUnit;Ally;LessHealthy;S;S_S;S;For_S;S;S_S;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Weakest;S;C;Train;Worker;Down;10
2000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
3000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
4000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
5000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
6000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
7000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
8000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
9000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
10000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
11000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
12000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
13000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
14000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
15000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
16000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
17000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
18000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
19000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
20000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
21000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
22000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
23000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
24000,S;For_S;S;S_S;S;For_S;S;C;Idle;S;S_S;S;If_B_then_S_else_S;B;CanHarvest;S;For_S;S;C;Attack;Weakest;S;For_S;S;C;Harvest;4;S;C;Train;Worker;Down;50
