3600,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
7200,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
10800,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
14400,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
18000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
21600,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
25200,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
28800,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
32400,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
36000,S;S_S;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;If_B_then_S;B;OpponentHasUnitThatKillsUnitInOneAttack;S;S_S;S;C;Harvest;100;S;C;Attack;Weakest;S;For_S;S;S_S;S;For_S;S;C;Train;Worker;EnemyDir;2;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;MostHealthy;S;C;Train;Worker;Up;100
