1000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;IsBuilder;S;S_S;S;If_B_then_S_else_S;B;HasNumberOfWorkersHarvesting;0;S;C;Harvest;1;S;C;MoveToUnit;Ally;Closest;S;Empty;S;If_B_then_S_else_S;B;HasNumberOfUnits;Barracks;0;S;C;Build;Barracks;Up;1;S;C;MoveToUnit;Ally;Closest;S;Empty
2000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
3000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
4000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
5000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
6000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
7000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
8000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
9000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
10000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
11000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Down;2;S;C;Idle;S;S_S;S;C;Harvest;2;S;C;Attack;Strongest
12000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;C;Train;Worker;Down;8;S;C;Attack;MostHealthy
13000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;C;Train;Worker;Down;8;S;C;Attack;MostHealthy
14000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;C;Train;Worker;Down;8;S;C;Attack;MostHealthy
15000,S;S_S;S;For_S;S;C;Idle;S;For_S;S;S_S;S;C;Train;Worker;Down;8;S;C;Attack;MostHealthy
