3600,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;4;S;For_S;S;For_S;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Weakest
7200,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;4;S;For_S;S;For_S;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Weakest
10800,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;4;S;For_S;S;For_S;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Weakest
14400,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Up;4;S;For_S;S;For_S;S;For_S;S;C;Harvest;4;S;For_S;S;C;Attack;Weakest
18000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Worker;Down;4;S;C;Train;Ranged;Down;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;2;S;C;Harvest;4;S;C;MoveToUnit;Ally;MostHealthy;S;For_S;S;C;Attack;Strongest
21600,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;6;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;For_S;S;C;Train;Ranged;Left;8;S;S_S;S;C;Train;Worker;Up;4;S;C;Train;Light;EnemyDir;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;2;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;For_S;S;C;Attack;Strongest
25200,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;6;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;For_S;S;C;Train;Ranged;Left;8;S;S_S;S;C;Train;Worker;Up;4;S;C;Train;Light;EnemyDir;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;2;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;For_S;S;C;Attack;Strongest
28800,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;6;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;For_S;S;C;Train;Ranged;Left;8;S;S_S;S;C;Train;Worker;Up;4;S;C;Train;Light;EnemyDir;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;2;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;For_S;S;C;Attack;Strongest
32400,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;6;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;For_S;S;C;Train;Ranged;Left;8;S;S_S;S;C;Train;Worker;Up;4;S;C;Train;Light;EnemyDir;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;2;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;For_S;S;C;Attack;Strongest
36000,S;For_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;6;S;C;MoveToUnit;Enemy;Farthest;S;S_S;S;S_S;S;For_S;S;C;Train;Ranged;Left;8;S;S_S;S;C;Train;Worker;Up;4;S;C;Train;Light;EnemyDir;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;2;S;C;Harvest;4;S;C;MoveToUnit;Ally;Weakest;S;For_S;S;C;Attack;Strongest
39600,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;4;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Train;Ranged;Right;6;S;C;Train;Worker;Down;2;S;C;Train;Light;Up;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Harvest;2;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Attack;Weakest
43200,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;4;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Train;Ranged;Right;6;S;C;Train;Worker;Down;2;S;C;Train;Light;Up;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Harvest;2;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Attack;Weakest
46800,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;4;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Train;Ranged;Right;6;S;C;Train;Worker;Down;2;S;C;Train;Light;Up;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Harvest;2;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Attack;Weakest
50400,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;4;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Train;Ranged;Right;6;S;C;Train;Worker;Down;2;S;C;Train;Light;Up;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Harvest;2;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Attack;Weakest
54000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;S_S;S;If_B_then_S;B;HasNumberOfUnits;Heavy;4;S;C;MoveToUnit;Enemy;Farthest;S;For_S;S;C;Train;Ranged;Right;6;S;C;Train;Worker;Down;2;S;C;Train;Light;Up;2;S;For_S;S;S_S;S;C;Build;Barracks;EnemyDir;1;S;C;Harvest;2;S;C;MoveToUnit;Enemy;Closest;S;For_S;S;C;Attack;Weakest
