1000,S;For_S;S;C;Attack;Closest
2000,S;For_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Closest
3000,S;For_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Closest
4000,S;For_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Closest
5000,S;For_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Closest
6000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
7000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
8000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
9000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
10000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
11000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
12000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
13000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
14000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
15000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
16000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
17000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
18000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
19000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
20000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
21000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
22000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
23000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
24000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
25000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
26000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
27000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
28000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
29000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
30000,S;For_S;S;S_S;S;If_B_then_S;B;HasUnitWithinDistanceFromOpponent;10;S;S_S;S;C;Idle;S;C;Attack;Strongest;S;C;MoveToUnit;Ally;Farthest
